data,local,risco,n_pessoas,origem,espera,vulneraveis,necessita_medico,nivel_aguasentimento,confiavel,prioridade,nivel_agua,sentimento
2021-12-23 14:46:36,0,3,2,190,104,False,False,,True,3,cintura,panico
2021-03-17 08:38:19,43,3,5,instagram,115,False,False,,True,2,tornozelo,calmo
2026-04-12 16:13:22,25,4,2,instagram,78,False,False,,False,2,tornozelo,calmo
2020-04-16 16:36:03,36,1,1,instagram,30,False,False,,True,0,tornozelo,nervoso
2023-09-06 20:00:28,22,2,2,instagram,115,False,False,,True,2,tornozelo,panico
2020-06-20 07:29:08,11,1,7,whatsapp,109,False,False,,False,0,cintura,nervoso
2025-02-09 04:57:09,25,3,8,190,48,False,False,,True,3,cintura,panico
2020-03-26 22:01:59,21,4,5,whatsapp,74,False,True,,True,3,cintura,calmo
2023-01-28 22:43:24,8,3,2,190,14,False,False,,True,1,tornozelo,nervoso
2022-07-15 12:32:46,5,2,6,instagram,68,False,True,,False,3,tornozelo,nervoso
2021-05-15 02:12:35,0,2,3,instagram,30,True,False,,True,1,tornozelo,nervoso
2023-11-18 12:39:41,37,2,6,190,76,True,False,,True,5,teto,nervoso
2020-03-12 02:41:08,18,2,3,whatsapp,11,False,False,,True,0,cintura,calmo
2024-09-26 22:51:10,45,3,2,190,81,False,False,,True,0,cintura,panico
2021-01-17 21:31:55,23,2,9,190,5,False,False,,True,4,teto,panico
2023-09-13 10:07:05,30,2,8,190,84,False,False,,True,2,cintura,nervoso
2025-06-28 18:59:47,26,1,3,190,27,False,False,,True,0,tornozelo,nervoso
2025-05-16 14:48:52,47,1,2,whatsapp,61,True,False,,True,3,cintura,panico
2020-08-14 04:16:35,39,3,8,whatsapp,4,False,False,,True,2,tornozelo,calmo
2024-07-10 20:01:23,48,1,8,190,59,True,False,,True,4,teto,calmo
2024-06-01 05:45:15,32,4,3,190,53,False,False,,True,1,tornozelo,nervoso
2022-03-28 02:50:06,19,2,7,whatsapp,79,False,False,,True,3,tornozelo,panico
