data,local,velocidade_vento,terreno,correnteza,visibilidade,obstaculos,risco
2021-12-23 14:46:36,0,39,seco,72,20,True,3
2021-03-17 08:38:19,43,53,seco,57,74,True,3
2026-04-12 16:13:22,25,16,telhado,67,21,True,4
2020-04-16 16:36:03,36,24,navegavel,78,96,False,1
2023-09-06 20:00:28,22,53,navegavel,28,54,True,2
2020-06-20 07:29:08,11,14,seco,87,60,False,1
2025-02-09 04:57:09,25,5,asfalto molhado,85,10,False,3
2020-03-26 22:01:59,21,83,navegavel,92,14,True,4
2023-01-28 22:43:24,8,81,lama,43,88,True,3
2022-07-15 12:32:46,5,6,telhado,82,76,False,2
2021-05-15 02:12:35,0,90,navegavel,28,14,False,2
2023-11-18 12:39:41,37,1,navegavel,59,97,True,2
2020-03-12 02:41:08,18,72,navegavel,55,97,False,2
2024-09-26 22:51:10,45,90,seco,54,42,False,3
2021-01-17 21:31:55,23,30,asfalto molhado,30,21,False,2
2023-09-13 10:07:05,30,4,asfalto molhado,43,87,True,2
2025-06-28 18:59:47,26,19,seco,17,44,False,1
2025-05-16 14:48:52,47,5,lama,37,68,False,1
2020-08-14 04:16:35,39,77,lama,7,83,True,3
2024-07-10 20:01:23,48,7,lama,49,52,False,1
2024-06-01 05:45:15,32,84,lama,61,7,False,4
2022-03-28 02:50:06,19,48,telhado,35,14,False,2
2021-05-21 02:57:29,31,42,lama,43,79,True,2
2026-02-15 21:17:27,10,34,lama,48,33,False,2
2025-11-24 12:26:04,23,38,seco,17,48,False,1
2025-08-14 10:43:41,13,90,telhado,48,12,True,4
2020-11-06 22:59:29,38,76,lama,26,72,False,2
2024-10-06 05:36:07,28,35,navegavel,69,68,True,2
2020-12-07 23:56:04,38,33,asfalto molhado,43,95,False,1
2026-03-05 18:53:59,15,21,lama,46,89,False,1
2020-05-26 17:50:19,0,71,asfalto molhado,61,32,True,5
2023-01-08 12:10:31,29,51,navegavel,34,3,False,2
2026-04-19 20:38:18,16,88,seco,69,18,False,3
2021-04-03 22:45:17,42,56,navegavel,86,82,False,2
2022-01-08 13:34:11,25,34,navegavel,5,82,False,0
2020-07-16 18:05:54,46,40,navegavel,28,6,False,1
2023-12-30 06:59:24,43,11,lama,98,63,False,2
2023-05-10 18:49:27,14,75,seco,99,96,True,3
2022-07-07 02:53:15,43,12,lama,23,88,False,1
2022-01-22 03:48:33,4,8,telhado,10,37,False,2
2024-07-15 21:23:53,1,29,asfalto molhado,99,90,False,2
2024-12-03 04:13:28,1,31,asfalto molhado,93,2,False,3
2021-08-08 12:44:38,11,32,navegavel,12,11,True,2
2022-05-16 12:21:18,2,13,lama,95,11,False,3
2025-09-11 21:37:24,23,34,seco,88,42,False,2
2020-08-25 17:58:02,25,71,asfalto molhado,62,81,False,3
2025-01-04 19:50:11,45,49,lama,84,44,False,3
2025-08-17 13:56:15,41,16,lama,32,29,False,2
2022-01-02 13:27:19,13,59,asfalto molhado,35,57,False,2
2023-07-15 19:37:16,35,82,asfalto molhado,63,20,False,4
2021-04-18 02:08:45,15,66,navegavel,82,63,False,2
2022-07-01 10:11:21,12,72,lama,70,9,True,5
2020-05-16 23:19:53,40,65,asfalto molhado,29,10,False,3
2024-12-06 20:32:49,44,49,lama,40,62,False,1
2025-03-26 11:02:23,4,58,asfalto molhado,31,22,False,3
2020-07-26 00:58:39,13,17,telhado,54,98,True,3
2025-07-10 18:57:31,35,22,seco,14,76,False,0
2023-10-07 09:08:48,43,80,telhado,4,1,False,3
2025-02-20 20:28:02,19,41,lama,97,2,True,4
2021-06-15 12:38:29,37,61,asfalto molhado,34,84,False,2
2026-04-14 21:31:18,27,48,asfalto molhado,31,82,False,1
2024-08-08 14:39:14,23,91,seco,55,25,False,3
2024-02-13 10:36:04,34,47,telhado,10,19,False,2
2022-08-30 09:17:32,39,38,lama,85,31,False,3
2024-06-01 23:24:39,48,49,seco,80,96,False,1
2021-04-20 06:11:06,18,53,navegavel,13,7,False,2
2023-04-09 21:37:52,21,47,asfalto molhado,81,14,False,3
2023-12-17 11:08:39,26,21,lama,64,39,False,3
2024-07-16 04:47:47,25,3,lama,78,99,True,3
2020-09-14 04:29:56,30,13,telhado,90,0,False,3
2022-01-27 20:39:02,32,57,seco,8,81,False,1
2022-08-17 21:39:13,46,19,lama,19,65,True,2
2023-03-08 13:10:02,47,82,telhado,57,36,False,4
2024-03-14 23:08:19,21,33,telhado,36,10,False,2
2026-01-25 05:11:04,36,21,navegavel,2,37,False,1
2023-12-23 04:24:13,44,64,seco,54,12,False,3
2022-12-30 22:09:40,48,7,lama,6,31,False,2
2024-12-28 15:03:05,2,34,telhado,4,60,False,1
2020-12-07 07:48:32,12,55,lama,74,86,False,3
2024-11-19 15:19:56,20,75,seco,59,11,True,4
2021-04-17 09:07:32,14,74,asfalto molhado,0,46,True,4
2021-10-01 03:21:20,29,45,asfalto molhado,58,54,False,2
2025-02-14 05:11:08,25,40,navegavel,28,97,False,0
2024-02-07 22:24:59,24,63,navegavel,30,20,True,3
2021-07-13 11:10:14,1,67,lama,4,39,True,4
2021-09-01 07:31:51,1,28,navegavel,69,23,False,2
2021-01-07 12:04:52,4,24,navegavel,9,7,False,1
2021-08-08 02:04:49,8,42,lama,58,53,False,2
2024-03-27 10:33:34,9,44,asfalto molhado,46,14,False,2
2026-03-29 20:57:00,18,88,asfalto molhado,11,57,False,2
2025-07-27 13:44:20,41,62,lama,45,6,False,3
2022-04-08 18:27:01,16,15,telhado,41,27,True,3
2020-01-07 22:40:09,39,81,lama,57,98,False,3
2022-11-14 16:54:48,23,36,telhado,4,74,True,2
2026-02-15 08:47:48,48,63,seco,57,24,True,4
2020-03-05 01:24:33,1,27,navegavel,54,63,False,1
2021-12-05 00:17:14,30,56,asfalto molhado,84,72,False,3
2021-05-18 11:06:30,22,88,telhado,0,9,False,3
2025-07-30 17:06:38,17,8,asfalto molhado,25,48,False,2
2022-12-09 20:26:50,39,48,telhado,67,99,False,2
2024-07-11 04:41:37,30,78,lama,2,72,True,3
2021-06-29 16:35:51,9,77,navegavel,1,15,True,3
2020-01-11 20:36:07,12,36,lama,9,45,True,3
2024-06-29 20:50:01,25,21,asfalto molhado,84,0,False,3
2020-05-01 20:53:29,18,41,navegavel,81,70,False,1
2024-08-25 15:44:20,29,45,telhado,55,52,True,3
2025-12-05 17:16:15,8,77,lama,54,36,True,5
2022-02-11 10:54:01,47,75,navegavel,61,71,True,3
2025-07-28 08:00:31,8,13,seco,31,28,True,2
2023-03-19 19:39:06,18,69,asfalto molhado,33,79,False,2
2021-09-22 21:14:13,46,11,lama,87,95,True,3
2024-02-14 10:04:15,43,18,asfalto molhado,87,91,True,3
2024-11-15 20:51:20,32,3,telhado,13,48,False,2
2020-04-30 23:51:42,22,28,asfalto molhado,78,73,False,2
2023-10-14 18:17:06,27,96,lama,61,96,False,3
2026-04-05 04:14:31,36,36,telhado,55,14,True,4
2020-04-26 05:50:32,3,2,seco,83,21,True,3
2021-03-19 06:57:44,47,89,seco,82,24,False,3
2022-03-22 11:28:47,1,94,lama,48,66,False,2
2021-10-29 10:16:23,1,12,lama,76,75,False,2
2023-03-03 04:35:15,6,74,lama,94,9,True,5
2024-08-30 00:11:13,23,29,telhado,72,2,True,4
2021-06-30 17:06:54,26,36,lama,27,55,False,1
2023-01-08 15:38:24,24,77,lama,26,74,True,3
2024-03-24 04:51:53,27,21,telhado,63,54,True,3
2024-07-29 15:06:24,39,23,navegavel,97,67,False,1
2024-09-25 23:35:37,20,26,navegavel,68,94,True,2
2025-07-01 14:48:13,36,92,seco,37,94,True,2
2022-03-25 04:28:50,24,96,asfalto molhado,53,97,False,3
2020-09-29 08:00:50,41,41,telhado,42,16,False,2
2020-12-25 17:45:01,5,4,telhado,89,82,False,2
2020-06-08 21:56:35,47,15,telhado,23,12,False,2
2020-03-11 20:08:20,17,84,seco,30,86,False,1
2026-02-28 08:03:02,0,55,lama,49,91,True,3
2025-10-19 21:51:34,34,34,telhado,39,12,True,3
2024-11-06 15:55:59,39,3,telhado,2,11,False,2
2022-03-04 08:17:40,28,45,asfalto molhado,71,79,False,2
2024-09-05 11:10:42,33,91,asfalto molhado,80,69,False,3
2023-05-25 06:11:49,30,42,asfalto molhado,70,74,True,3
2022-09-18 19:47:06,44,14,lama,2,97,False,1
2021-08-05 01:59:19,30,59,asfalto molhado,78,83,False,3
2026-03-18 14:39:34,19,33,seco,71,6,False,2
2020-05-24 09:42:19,4,64,lama,95,12,False,4
2022-06-27 22:53:28,40,94,lama,28,35,False,3
2020-03-18 13:56:51,18,66,seco,62,92,False,2
2020-08-28 15:48:19,25,94,lama,88,50,False,3
2020-08-13 04:23:52,27,18,asfalto molhado,3,33,False,2
2026-02-08 23:19:47,20,6,seco,53,15,False,2
2021-02-23 04:15:05,11,32,lama,61,32,False,3
2020-03-19 10:48:00,12,21,navegavel,59,44,False,2
2023-02-17 11:13:43,7,4,seco,71,32,False,2
2023-07-29 14:45:56,24,61,lama,2,75,False,2
2022-09-06 22:36:42,19,45,asfalto molhado,15,58,False,1
2025-07-24 18:40:38,11,25,navegavel,7,14,False,1
2020-12-20 00:30:52,44,99,lama,84,51,False,3
2022-08-07 01:41:46,16,31,navegavel,35,83,True,1
2021-12-09 02:24:45,44,77,telhado,73,93,False,3
2020-04-09 14:50:28,34,74,asfalto molhado,50,41,False,3
2024-06-01 03:41:39,17,54,navegavel,41,27,True,3
2024-09-24 01:29:17,33,74,seco,96,56,False,2
2025-12-04 21:17:42,33,4,navegavel,0,99,False,0
2024-05-31 06:04:11,40,13,asfalto molhado,40,10,True,3
2023-12-02 11:05:11,18,16,lama,21,62,False,1
2025-12-19 09:17:38,15,53,telhado,39,29,True,4
2021-02-10 15:51:43,24,52,asfalto molhado,58,25,False,4
2022-09-07 10:16:19,6,37,telhado,55,36,False,3
2023-09-04 02:50:27,25,9,lama,30,78,False,1
2020-02-20 03:30:54,43,61,navegavel,83,49,True,4
2025-04-30 06:45:03,41,73,navegavel,50,7,False,2
2025-08-08 03:24:27,26,41,seco,4,27,True,2
2022-10-01 14:28:11,40,23,seco,56,82,False,1
2025-12-01 14:54:04,21,77,lama,19,34,False,3
2021-04-26 19:07:21,4,20,seco,92,71,False,1
2025-02-02 06:50:23,39,1,asfalto molhado,57,40,False,3
2023-01-15 00:18:46,2,78,seco,74,15,False,3
2020-04-03 05:20:40,14,67,lama,23,16,False,3
2020-11-21 15:50:07,24,3,asfalto molhado,26,34,False,2
2022-04-12 22:20:02,24,27,lama,56,25,True,4
2020-02-02 00:56:45,3,72,telhado,47,46,False,3
2021-06-01 14:04:01,5,39,asfalto molhado,37,3,False,2
2025-07-09 22:46:54,13,5,seco,36,42,True,2
2025-12-20 16:56:22,18,76,seco,86,59,True,3
2024-06-08 02:24:02,22,79,telhado,97,98,False,3
2022-04-09 09:12:23,41,6,telhado,60,67,False,2
2021-09-25 19:18:29,48,2,seco,0,75,True,1
2021-10-08 12:17:29,36,28,lama,42,74,False,1
2024-04-28 19:25:32,33,96,asfalto molhado,90,85,True,4
2023-11-22 04:05:35,6,14,asfalto molhado,59,47,False,3
2022-05-10 20:21:35,0,54,telhado,85,41,True,5
2021-03-01 06:27:28,4,8,lama,74,35,False,3
2025-11-14 07:00:29,3,21,navegavel,81,11,False,2
2022-02-08 19:01:47,33,11,asfalto molhado,32,39,False,2
2024-04-06 06:47:14,13,12,navegavel,88,33,True,3
2021-02-08 01:59:31,42,94,seco,17,35,True,3
2024-03-26 00:51:25,12,65,asfalto molhado,62,9,False,4
2022-03-01 01:27:22,30,27,seco,94,40,False,2
2024-06-01 10:15:42,29,46,lama,4,76,False,1
2025-05-15 07:42:41,33,73,navegavel,37,22,True,3
2021-05-09 00:01:42,49,32,navegavel,29,48,False,1
2023-01-04 17:43:20,29,21,asfalto molhado,12,11,False,2
2023-01-27 13:33:47,47,81,lama,15,61,True,3
2024-03-06 06:28:00,49,28,seco,25,32,True,2
2022-04-26 00:52:48,5,72,telhado,53,15,False,4
2026-02-17 14:28:07,22,97,navegavel,10,28,False,2
2025-07-25 18:01:03,47,44,navegavel,10,3,True,2
2023-03-07 00:40:15,33,8,seco,85,42,False,2
2021-08-07 07:43:06,47,55,asfalto molhado,80,81,True,4
2025-01-20 10:11:52,37,4,asfalto molhado,42,42,False,2
2022-01-07 17:14:32,43,42,telhado,9,55,False,1
2021-05-30 18:06:27,40,90,telhado,26,74,False,2
2022-07-31 14:29:35,40,99,asfalto molhado,80,15,False,4
2021-11-02 23:28:16,45,28,telhado,92,30,False,3
2023-08-25 21:38:24,28,57,asfalto molhado,61,51,True,4
2020-05-25 03:20:03,11,33,navegavel,55,22,False,2
2021-02-26 23:33:24,26,93,asfalto molhado,14,18,False,3
2025-07-11 20:50:52,8,73,lama,75,59,False,3
2021-06-17 15:03:25,29,84,navegavel,2,84,True,2
2024-10-17 15:08:36,7,29,navegavel,28,89,True,1
2026-02-09 05:11:10,11,90,lama,56,88,False,3
2025-10-02 19:40:13,20,36,telhado,93,8,False,3
2024-03-21 01:59:00,17,26,asfalto molhado,54,97,True,3
2023-03-27 05:56:15,0,16,navegavel,15,41,False,1
2023-09-20 20:14:22,49,40,seco,60,2,False,2
2024-07-31 21:13:27,22,29,lama,81,31,False,3
2022-02-12 17:53:19,24,15,telhado,25,44,False,2
2020-01-27 12:57:25,39,42,telhado,94,63,False,2
2021-06-12 01:48:43,38,30,telhado,84,87,False,2
2023-07-30 08:36:04,8,67,lama,48,44,False,3
2025-08-03 14:09:50,21,91,lama,17,59,True,3
2024-02-26 21:32:49,44,46,asfalto molhado,34,92,False,1
2020-07-02 16:41:04,46,30,seco,2,43,False,1
2022-07-12 20:44:58,41,19,asfalto molhado,73,57,True,3
2025-08-30 07:54:34,19,71,telhado,77,35,False,4
2026-04-20 08:59:10,38,0,lama,33,91,True,2
2024-07-19 02:18:16,37,70,asfalto molhado,63,38,False,4
2025-05-12 07:12:00,49,15,asfalto molhado,27,68,False,1
2024-10-24 11:43:14,20,65,asfalto molhado,33,70,False,2
2025-06-15 00:15:50,22,99,lama,51,12,True,5
2025-05-29 08:18:18,35,95,seco,56,56,True,3
2026-03-17 21:30:39,31,2,navegavel,79,88,False,1
2022-04-19 08:50:42,11,66,seco,19,5,True,3
2021-04-08 22:17:35,9,77,navegavel,48,68,False,1
2022-12-12 14:35:50,46,5,lama,23,96,False,1
2025-09-10 21:10:40,7,4,asfalto molhado,23,49,True,3
2021-07-23 12:14:49,7,96,telhado,43,51,False,2
2024-07-06 08:53:41,45,91,asfalto molhado,37,15,False,3
2022-03-29 00:34:48,47,18,seco,13,17,False,1
2026-03-22 18:26:32,15,78,lama,87,44,True,5
2023-05-15 02:09:07,1,0,navegavel,59,91,False,1
2023-04-01 04:26:42,19,13,seco,34,78,True,1
2020-10-01 00:20:40,36,96,asfalto molhado,33,44,True,4
2023-06-16 03:59:29,25,38,navegavel,38,52,False,0
2024-10-18 21:35:48,16,21,seco,16,84,False,0
2021-04-30 20:53:49,23,25,asfalto molhado,27,54,False,1
2021-12-26 15:50:12,27,64,navegavel,90,45,False,3
2021-01-19 14:24:53,31,81,telhado,54,69,False,3
2023-01-24 09:47:46,39,5,telhado,51,60,False,2
2022-04-14 01:33:31,0,18,seco,92,56,True,2
2024-06-14 22:37:07,45,38,navegavel,33,86,False,0
2020-11-17 12:02:29,30,84,telhado,68,78,False,3
2022-08-28 17:49:27,36,77,asfalto molhado,7,64,True,3
2020-05-07 23:01:07,26,47,asfalto molhado,99,41,True,4
2024-07-15 12:21:43,37,64,seco,11,96,True,2
2025-03-10 23:53:16,33,58,lama,56,51,False,3
2022-02-08 21:40:53,2,67,asfalto molhado,43,48,False,3
2023-03-11 12:40:18,46,24,seco,66,35,False,2
2024-05-20 22:07:14,23,85,telhado,57,20,False,4
2024-04-20 15:50:27,28,88,lama,61,62,False,3
2024-06-11 11:50:23,2,58,lama,65,93,False,3
2020-07-15 14:55:18,3,59,lama,49,25,False,3
2023-05-14 15:37:09,34,21,asfalto molhado,47,39,True,3
2020-01-01 04:59:52,2,77,navegavel,24,47,True,3
2024-03-04 15:30:06,4,23,lama,52,48,True,4
2025-12-30 17:44:53,40,84,navegavel,19,86,False,1
2024-06-30 11:51:32,25,64,seco,55,20,False,3
2021-05-18 11:43:10,46,67,lama,82,38,False,4
2023-01-02 19:12:23,16,30,navegavel,32,93,False,0
2022-03-10 07:39:08,44,96,navegavel,70,86,False,2
2024-07-08 13:07:08,35,9,seco,55,42,False,2
2025-11-17 08:02:01,5,37,lama,75,78,True,3
2025-05-10 07:45:44,18,10,navegavel,55,21,True,3
2020-07-13 03:21:24,29,88,telhado,94,45,False,4
2022-09-08 15:50:16,21,57,asfalto molhado,25,59,True,3
2025-05-10 08:07:48,28,10,navegavel,77,16,True,3
2024-02-21 01:33:52,7,70,lama,91,35,False,4
2025-06-03 19:00:05,11,92,lama,99,93,True,4
2021-08-26 04:53:47,25,32,telhado,56,80,True,3
2024-04-20 09:26:37,2,51,telhado,93,9,False,4
2022-12-02 06:51:20,49,77,telhado,58,54,False,3
2020-03-08 07:26:51,4,58,asfalto molhado,24,79,False,2
2024-01-20 06:46:36,35,26,navegavel,97,91,True,2
2024-10-27 02:21:27,41,87,lama,37,67,True,3
2025-03-17 14:42:18,25,42,navegavel,55,81,False,1
2023-10-14 00:58:41,0,7,lama,32,96,True,2
2023-05-06 02:14:14,13,99,telhado,76,98,True,4
2024-02-29 18:17:14,38,89,seco,44,93,True,2
2025-03-31 00:59:44,34,93,asfalto molhado,47,82,False,2
2023-11-08 04:54:44,33,97,telhado,5,62,False,2
2022-04-25 05:24:53,14,89,asfalto molhado,69,2,True,5
2021-06-12 16:02:29,24,60,seco,82,78,False,2
2020-10-22 07:07:23,44,2,asfalto molhado,87,91,True,3
2025-07-28 19:25:45,10,57,telhado,0,99,False,2
2020-04-09 23:27:51,40,94,lama,42,66,False,2
2020-05-16 01:14:49,47,11,telhado,72,50,False,2
2025-02-24 18:33:28,34,41,lama,97,26,False,3
2022-01-18 22:52:43,17,72,navegavel,65,76,True,3
2020-06-17 01:18:55,36,11,lama,87,38,False,3
2020-08-19 11:40:14,27,78,asfalto molhado,40,46,False,3
2023-01-07 21:07:20,24,52,navegavel,39,9,True,3
2020-06-14 00:48:52,21,70,telhado,76,66,False,3
2021-02-06 16:49:52,33,87,lama,36,65,False,2
2023-10-12 03:50:13,39,7,navegavel,85,18,False,2
2025-10-06 17:01:50,20,22,lama,32,87,False,1
2025-02-17 19:14:52,13,19,telhado,10,20,True,3
2021-05-21 20:29:51,40,65,lama,55,31,True,5
2020-01-28 11:10:40,36,67,seco,79,50,True,3
2022-01-27 13:56:37,4,45,seco,38,74,False,0
2020-03-06 04:36:10,48,45,seco,14,31,False,1
2021-11-27 01:20:56,49,19,navegavel,26,94,True,1
2022-01-05 04:01:49,31,96,telhado,59,46,True,5
2025-11-25 09:18:25,44,35,navegavel,76,78,True,2
2023-12-21 09:56:48,12,91,asfalto molhado,98,22,False,4
2024-04-19 06:52:02,43,27,seco,51,98,True,2
2024-03-29 18:56:19,44,82,seco,68,66,True,3
2022-11-15 07:35:50,47,53,navegavel,2,5,False,2
2020-06-07 00:43:09,30,83,telhado,35,51,False,2
2021-07-21 03:22:09,37,29,seco,44,84,False,0
2025-05-11 11:40:48,13,44,asfalto molhado,20,71,False,1
2021-08-23 18:40:38,37,50,lama,97,7,False,3
2023-02-21 08:36:56,38,63,asfalto molhado,92,70,False,3
2023-08-08 19:25:29,17,27,telhado,72,58,False,2
2023-09-16 16:40:40,39,60,lama,48,19,True,4
2025-10-06 09:26:17,33,7,asfalto molhado,87,21,False,3
2025-06-25 10:36:27,31,86,asfalto molhado,18,89,False,2
2022-01-15 12:08:30,32,55,navegavel,98,47,False,3
